Time,Name,Address / Platform,Region,Town
"Saturday, 6:30 PM",Pamphlets To Freedom Group,1140 Locust Avenue,Bohemia,Huntington
"Sunday, 9:00 AM",Our Sunday Step Group,115 Leonardo Da Vinci Street,Copiague,Huntington
"Saturday, 7:30 PM",Our Primary Purpose Group Amityville,25 Broadway,Amityville,Huntington
"Wednesday, 8:00 PM",Open Minded Men Group,1140 Locust Avenue,Bohemia,Huntington
"Sunday, 7:30 PM",One Flight Up Group,107 East Main Street,Bay Shore,Huntington
"Sunday, 2:00 PM",Old School Recovery Group,20 Simmons Street,Copiague,Huntington
"Sunday, 10:00 AM",New Life Group Amityville,48 Cedar Road,Amityville,Huntington
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Huntington
"Thursday, 8:00 PM",New Connection Group,95 Stewart Avenue,Hicksville,Huntington
"Tuesday, 6:30 PM",New Beginnings Group Amityville,2 Monroe Street,Amityville,Huntington
"Sunday, 1:00 PM",New Awakenings Group,141 Wolf Hill Road,Huntington Station,Huntington
"Tuesday, 6:30 PM",New Attitudes Group Bay Shore,107 East Main Street,Bay Shore,Huntington
"Tuesday, 7:30 PM",Never Alone Group Northport,130 Main Street,Northport,Huntington
"Sunday, 7:00 PM",Never Again Group Huntington,240 Main Street,Huntington,Huntington
"Saturday, 7:30 PM",Miracles on Main Street Group,60 East Main Street,Oyster Bay,Huntington
"Saturday, 11:59 PM",Midnight Hope Group,107 East Main Street,Bay Shore,Huntington
"Wednesday, 8:00 PM",Mid Island Connection Group,Online474 Wantagh Avenue,Levittown,Huntington
"Thursday, 8:00 PM",Merrick Sunrise Group,2101 William Place,Merrick,Huntington
"Saturday, 9:15 PM",Meditation on Main Street Group,60 East Main Street,Oyster Bay,Huntington
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Huntington
"Monday, 6:30 PM",Living Clean Group Hicksville,95 Stewart Avenue,Hicksville,Huntington
"Monday, 7:30 PM",Keep It Green Group Huntington,125 Main Street,Huntington,Huntington
"Monday, 8:30 PM",KISS Group Bohemia,1140 Locust Avenue,Bohemia,Huntington
"Monday, 8:00 PM",Just Care Group,95 Stewart Avenue,Hicksville,Huntington
"Sunday, 6:00 PM",Its a Spiritual Solution Group,130 Main Street,Northport,Huntington
"Tuesday, 8:00 PM",Its Casual by the Lake Group,307 Hawkins Avenue,Ronkonkoma,Huntington
"Wednesday, 7:30 PM",Hope on the Rise Group,80 Leaf Avenue,Central Islip,Huntington
"Thursday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Huntington
"Wednesday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Huntington
"Monday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Huntington
"Sunday, 7:00 AM",Hope by the Harbor Group,99 Ketcham Street,Northport,Huntington
"Sunday, 7:00 PM",HOW We Live Group,1140 Locust Avenue,Bohemia,Huntington
"Wednesday, 7:00 PM",Guppy Group,423 Park Avenue,Huntington,Huntington
"Thursday, 8:00 PM",Growing Together Group,Online505 Willis Avenue,Williston Park,Huntington
"Thursday, 9:00 PM",Gift Of Life Group,107 East Main Street,Bay Shore,Huntington
"Sunday, 10:00 AM",Genesis 2 Group,100 Park Boulevard,Massapequa Park,Huntington
"Thursday, 7:00 PM",Gates of Delivery Group,423 Park Avenue,Huntington,Huntington
"Saturday, 6:00 PM",Friday Night Mens Group,497 Pulaski Road,Greenlawn,Huntington
"Saturday, 8:00 PM",Free on Friday Group,220 Central Avenue,Bethpage,Huntington
"Tuesday, 11:00 AM",Experience Strength and Hope in the Morning Group,155 Indian Head Road,Commack,Huntington
"Tuesday, 1:00 PM",Daysteppers Group,95 Stewart Avenue,Hicksville,Huntington
"Saturday, 1:00 PM",Daystar Group,95 Stewart Avenue,Hicksville,Huntington
"Monday, 7:00 PM",Day One Group,Online80 Hicksville Road,Seaford,Huntington
"Wednesday, 8:00 PM",Coming Back to Life Group,Online175 East Main Street,Smithtown,Huntington
"Saturday, 7:30 PM",Coffee Group,196 West Centennial Avenue,Roosevelt,Huntington
"Sunday, 6:30 PM",Clean Slate Group Carle Place,534 Broadway,Carle Place,Huntington
"Sunday, 9:00 AM",Choose Your Weapon Group,240 Main Street,Huntington,Huntington
"Tuesday, 7:30 PM",Boys To Men Group Levittown,Online3100 Hempstead Turnpike,Levittown,Huntington
"Sunday, 8:00 PM",Blue Print to Recovery Group,95 Stewart Avenue,Hicksville,Huntington
"Wednesday, 8:00 PM",Basically Genesis Group,100 Park Boulevard,Massapequa Park,Huntington
"Sunday, 5:00 PM",Back to Basics Group Roosevelt,189 Babylon Turnpike,Roosevelt,Huntington
"Sunday, 7:30 PM",Asbury Addicts Group,Online265 Asbury Avenue,Westbury,Huntington
"Saturday, 7:30 PM",All About Change Group,Online315 Lake Shore Road,Lake Ronkonkoma,Huntington
"Thursday, 7:30 PM",Alive Again Group,340 Elmore Street,Central Islip,Huntington
"Sunday, 7:00 AM",Hope by the Harbor Group,99 Ketcham Street,Northport,Huntington
"Sunday, 9:00 AM",Choose Your Weapon Group,240 Main Street,Huntington,Huntington
"Sunday, 9:00 AM",Our Sunday Step Group,115 Leonardo Da Vinci Street,Copiague,Huntington
"Sunday, 9:30 AM",Port of Recovery Group Port Chester,55 Parkway Drive,Port Chester,Huntington
"Sunday, 10:00 AM",Shelter Rock Live,178 Cold Spring Road,Syosset,Huntington
"Sunday, 10:00 AM",New Life Group Amityville,48 Cedar Road,Amityville,Huntington
"Sunday, 11:30 AM",Steps into the Hugs Group,189 Burr Road,East Northport,Huntington
"Sunday, 1:00 PM",New Awakenings Group,141 Wolf Hill Road,Huntington Station,Huntington
"Sunday, 2:00 PM",Old School Recovery Group,20 Simmons Street,Copiague,Huntington
"Sunday, 3:00 PM",Time Doesnt Matter Group,2 Monroe Street,Amityville,Huntington
"Sunday, 5:00 PM",Surrender on Sunday Group,48 Cedar Road,Amityville,Huntington
"Sunday, 5:00 PM",Our Gratitude Speaks The NA Way Group,41 Stillwater Avenue,Stamford,Huntington
"Sunday, 6:00 PM",Its a Spiritual Solution Group,130 Main Street,Northport,Huntington
"Sunday, 6:30 PM",Clean Slate Group Carle Place,534 Broadway,Carle Place,Huntington
"Sunday, 6:30 PM",By The Text Group,2 Trinity Place,Norwalk,Huntington
"Sunday, 7:00 PM",Courage To Change Group Stamford,245 Selleck Street,Stamford,Huntington
"Sunday, 7:00 PM",Courage To Change Group Stamford,245 Selleck Street,Stamford,Huntington
"Sunday, 7:00 PM",Never Again Group Huntington,240 Main Street,Huntington,Huntington
"Sunday, 7:30 PM",Asbury Addicts Group,Online265 Asbury Avenue,Westbury,Huntington
"Sunday, 7:45 PM",By The Text Group,2 Trinity Place,Norwalk,Huntington
"Sunday, 8:00 PM",Blue Print to Recovery Group,95 Stewart Avenue,Hicksville,Huntington
"Monday, 12:00 PM",Serenity At Noon Group,141 Franklin Street,Stamford,Huntington
"Monday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Huntington
"Monday, 6:30 PM",Living Clean Group Hicksville,95 Stewart Avenue,Hicksville,Huntington
"Monday, 7:00 PM",Recovery On The Hill Group,41 Stillwater Avenue,Stamford,Huntington
"Monday, 7:00 PM",Day One Group,Online80 Hicksville Road,Seaford,Huntington
"Monday, 7:30 PM",Keep It Green Group Huntington,125 Main Street,Huntington,Huntington
"Monday, 8:00 PM",Just Care Group,95 Stewart Avenue,Hicksville,Huntington
"Monday, 8:00 PM",Sick Not Twisted Group,Online39 North Carl Avenue,Babylon,Huntington
"Tuesday, 11:00 AM",Experience Strength and Hope in the Morning Group,155 Indian Head Road,Commack,Huntington
"Tuesday, 1:00 PM",Daysteppers Group,95 Stewart Avenue,Hicksville,Huntington
"Tuesday, 6:30 PM",New Beginnings Group Amityville,2 Monroe Street,Amityville,Huntington
"Tuesday, 7:00 PM",Recovery On Tuesday Group,41 Stillwater Avenue,Stamford,Huntington
"Tuesday, 7:00 PM",Your Basic Step Group,Pulaski Road at New York Avenue,Huntington Station,Huntington
"Tuesday, 7:30 PM",Never Alone Group Northport,130 Main Street,Northport,Huntington
"Tuesday, 7:30 PM",Boys To Men Group Levittown,Online3100 Hempstead Turnpike,Levittown,Huntington
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Huntington
"Wednesday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Huntington
"Wednesday, 7:00 PM",Guppy Group,423 Park Avenue,Huntington,Huntington
"Wednesday, 7:00 PM",By The Text Group,2 Trinity Place,Norwalk,Huntington
"Wednesday, 7:00 PM",A Simple Solution Group,245 Selleck Street,Stamford,Huntington
"Wednesday, 7:30 PM",Hope on the Rise Group,80 Leaf Avenue,Central Islip,Huntington
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Huntington
"Wednesday, 7:45 PM",By The Text Group,2 Trinity Place,Norwalk,Huntington
"Wednesday, 8:00 PM",Coming Back to Life Group,Online175 East Main Street,Smithtown,Huntington
"Wednesday, 8:00 PM",Mid Island Connection Group,Online474 Wantagh Avenue,Levittown,Huntington
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Huntington
"Thursday, 12:00 PM",Serenity At Noon Group,141 Franklin Street,Stamford,Huntington
"Thursday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Huntington
"Thursday, 7:00 PM",There Is Hope Group Norwalk,55 Chestnut Street,Norwalk,Huntington
"Thursday, 7:00 PM",Gates of Delivery Group,423 Park Avenue,Huntington,Huntington
"Thursday, 7:00 PM",A Simple Solution Group,245 Selleck Street,Stamford,Huntington
"Thursday, 7:30 PM",Women Living the Message Group,486 Town Line Road,Commack,Huntington
"Thursday, 7:30 PM",Alive Again Group,340 Elmore Street,Central Islip,Huntington
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Huntington
"Thursday, 8:00 PM",Growing Together Group,Online505 Willis Avenue,Williston Park,Huntington
"Thursday, 8:00 PM",Roslyn Mens Group,Online1579 Northern Boulevard,Roslyn,Huntington
"Thursday, 8:00 PM",New Connection Group,95 Stewart Avenue,Hicksville,Huntington
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Huntington
"Saturday, 1:00 PM",Daystar Group,95 Stewart Avenue,Hicksville,Huntington
"Saturday, 6:00 PM",Friday Night Mens Group,497 Pulaski Road,Greenlawn,Huntington
"Saturday, 6:30 PM",Wonder Women Group,497 Pulaski Road,Greenlawn,Huntington
"Saturday, 7:00 PM",Students of Recovery Group,159 Brightside Avenue,Central Islip,Huntington
"Saturday, 7:30 PM",Miracles on Main Street Group,60 East Main Street,Oyster Bay,Huntington
"Saturday, 7:30 PM",This Must Be the Place Group,106 Vernon Valley Road,East Northport,Huntington
"Saturday, 8:00 PM",Free on Friday Group,220 Central Avenue,Bethpage,Huntington
"Saturday, 9:15 PM",Meditation on Main Street Group,60 East Main Street,Oyster Bay,Huntington
"Sunday, 7:00 AM",Hope by the Harbor Group,99 Ketcham Street,Northport,Islip
"Sunday, 9:00 AM",Choose Your Weapon Group,240 Main Street,Huntington,Islip
"Sunday, 9:00 AM",Our Sunday Step Group,115 Leonardo Da Vinci Street,Copiague,Islip
"Sunday, 10:00 AM",Genesis 2 Group,100 Park Boulevard,Massapequa Park,Islip
"Sunday, 10:00 AM",New Life Group Amityville,48 Cedar Road,Amityville,Islip
"Sunday, 11:00 AM",Serenity In Sayville Group,131 Middle Road,Sayville,Islip
"Sunday, 11:30 AM",Steps into the Hugs Group,189 Burr Road,East Northport,Islip
"Sunday, 1:00 PM",New Awakenings Group,141 Wolf Hill Road,Huntington Station,Islip
"Sunday, 2:00 PM",Old School Recovery Group,20 Simmons Street,Copiague,Islip
"Sunday, 3:00 PM",Time Doesnt Matter Group,2 Monroe Street,Amityville,Islip
"Sunday, 5:00 PM",Surrender on Sunday Group,48 Cedar Road,Amityville,Islip
"Sunday, 6:00 PM",Its a Spiritual Solution Group,130 Main Street,Northport,Islip
"Sunday, 7:00 PM",Never Again Group Huntington,240 Main Street,Huntington,Islip
"Sunday, 7:00 PM",Just For Today Group Bellport,185 South Country Road,Bellport,Islip
"Sunday, 7:00 PM",HOW We Live Group,1140 Locust Avenue,Bohemia,Islip
"Sunday, 7:30 PM",Sicker Than Most Group,107 East Main Street,Bay Shore,Islip
"Sunday, 7:30 PM",One Flight Up Group,107 East Main Street,Bay Shore,Islip
"Sunday, 8:00 PM",Saturday Night Alive Group,Online425 Hawkins Road,Selden,Islip
"Monday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Monday, 7:00 PM",Day One Group,Online80 Hicksville Road,Seaford,Islip
"Monday, 7:15 PM",Recovery Doesnt Stop Group,1101 Lakeland Avenue,Bohemia,Islip
"Monday, 7:30 PM",Courage to Change Group Sayville,131 Middle Road,Sayville,Islip
"Monday, 7:30 PM",Keep It Green Group Huntington,125 Main Street,Huntington,Islip
"Monday, 7:30 PM",Serenity Now Group,134 Middle Country Road,Coram,Islip
"Monday, 8:00 PM",Sick Not Twisted Group,Online39 North Carl Avenue,Babylon,Islip
"Monday, 8:30 PM",KISS Group Bohemia,1140 Locust Avenue,Bohemia,Islip
"Tuesday, 11:00 AM",Experience Strength and Hope in the Morning Group,155 Indian Head Road,Commack,Islip
"Tuesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Tuesday, 6:30 PM",New Attitudes Group Bay Shore,107 East Main Street,Bay Shore,Islip
"Tuesday, 6:30 PM",New Beginnings Group Amityville,2 Monroe Street,Amityville,Islip
"Tuesday, 7:00 PM",Simply Women Group,Online48 Greene Avenue,Sayville,Islip
"Tuesday, 7:00 PM",Your Basic Step Group,Pulaski Road at New York Avenue,Huntington Station,Islip
"Tuesday, 7:30 PM",Men with a Message Group,385 Sunrise Highway North Service Road,Patchogue,Islip
"Tuesday, 7:30 PM",Never Alone Group Northport,130 Main Street,Northport,Islip
"Tuesday, 7:30 PM",Step In Time Group,111 Nassau Avenue,Islip,Islip
"Tuesday, 8:00 PM",Its Casual by the Lake Group,307 Hawkins Avenue,Ronkonkoma,Islip
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Islip
"Wednesday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Wednesday, 7:00 PM",Setauket Five and Dime Group,5 Caroline Avenue,Setauket,Islip
"Wednesday, 7:00 PM",Guppy Group,423 Park Avenue,Huntington,Islip
"Wednesday, 7:30 PM",Recovery in Ronkonoma Group,307 Hawkins Avenue,Ronkonkoma,Islip
"Wednesday, 7:30 PM",Hope on the Rise Group,80 Leaf Avenue,Central Islip,Islip
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Islip
"Wednesday, 8:00 PM",Coming Back to Life Group,Online175 East Main Street,Smithtown,Islip
"Wednesday, 8:00 PM",Basically Genesis Group,100 Park Boulevard,Massapequa Park,Islip
"Wednesday, 8:00 PM",Mid Island Connection Group,Online474 Wantagh Avenue,Levittown,Islip
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Islip
"Wednesday, 8:00 PM",Open Minded Men Group,1140 Locust Avenue,Bohemia,Islip
"Thursday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Thursday, 7:00 PM",Gates of Delivery Group,423 Park Avenue,Huntington,Islip
"Thursday, 7:00 PM",True Recovery,1101 Lakeland Avenue,Bohemia,Islip
"Thursday, 7:30 PM",Recovery 101 Group,385 Sunrise Highway North Service Road,Patchogue,Islip
"Thursday, 7:30 PM",Recovery in Paradise Group,Midway at Ocean Breeze,Ocean Beach,Islip
"Thursday, 7:30 PM",Serenity in Medford Group,3251 Route 112,Medford,Islip
"Thursday, 7:30 PM",Women Living the Message Group,486 Town Line Road,Commack,Islip
"Thursday, 7:30 PM",Alive Again Group,340 Elmore Street,Central Islip,Islip
"Thursday, 7:30 PM",Just For Today Group Bellport,185 South Country Road,Bellport,Islip
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Islip
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Islip
"Thursday, 9:00 PM",Gift Of Life Group,107 East Main Street,Bay Shore,Islip
"Saturday, 12:30 PM",Recovery Can Happen Group,Online48 Greene Avenue,Sayville,Islip
"Saturday, 6:00 PM",Friday Night Mens Group,497 Pulaski Road,Greenlawn,Islip
"Saturday, 6:30 PM",Wonder Women Group,497 Pulaski Road,Greenlawn,Islip
"Saturday, 6:30 PM",Pamphlets To Freedom Group,1140 Locust Avenue,Bohemia,Islip
"Saturday, 7:00 PM",Students of Recovery Group,159 Brightside Avenue,Central Islip,Islip
"Saturday, 7:30 PM",All About Change Group,Online315 Lake Shore Road,Lake Ronkonkoma,Islip
"Saturday, 7:30 PM",This Must Be the Place Group,106 Vernon Valley Road,East Northport,Islip
"Saturday, 7:30 PM",Our Primary Purpose Group Amityville,25 Broadway,Amityville,Islip
"Saturday, 8:00 PM",Free on Friday Group,220 Central Avenue,Bethpage,Islip
"Saturday, 11:59 PM",Midnight Hope Group,107 East Main Street,Bay Shore,Islip
"Sunday, 7:00 AM",Hope by the Harbor Group,99 Ketcham Street,Northport,Oyster Bay
"Sunday, 9:00 AM",Choose Your Weapon Group,240 Main Street,Huntington,Oyster Bay
"Sunday, 9:00 AM",Our Sunday Step Group,115 Leonardo Da Vinci Street,Copiague,Oyster Bay
"Sunday, 9:30 AM",Port of Recovery Group Port Chester,55 Parkway Drive,Port Chester,Oyster Bay
"Sunday, 10:00 AM",Shelter Rock Live,178 Cold Spring Road,Syosset,Oyster Bay
"Sunday, 10:00 AM",Genesis 2 Group,100 Park Boulevard,Massapequa Park,Oyster Bay
"Sunday, 10:00 AM",New Life Group Amityville,48 Cedar Road,Amityville,Oyster Bay
"Sunday, 10:15 AM",Recovery at Work Group,16 Main Street,Hempstead,Oyster Bay
"Sunday, 11:30 AM",Steps into the Hugs Group,189 Burr Road,East Northport,Oyster Bay
"Sunday, 1:00 PM",New Awakenings Group,141 Wolf Hill Road,Huntington Station,Oyster Bay
"Sunday, 2:00 PM",Old School Recovery Group,20 Simmons Street,Copiague,Oyster Bay
"Sunday, 3:00 PM",Time Doesnt Matter Group,2 Monroe Street,Amityville,Oyster Bay
"Sunday, 5:00 PM",Back to Basics Group Roosevelt,189 Babylon Turnpike,Roosevelt,Oyster Bay
"Sunday, 5:00 PM",Surrender on Sunday Group,48 Cedar Road,Amityville,Oyster Bay
"Sunday, 5:00 PM",Our Gratitude Speaks The NA Way Group,41 Stillwater Avenue,Stamford,Oyster Bay
"Sunday, 6:00 PM",Its a Spiritual Solution Group,130 Main Street,Northport,Oyster Bay
"Sunday, 6:30 PM",Clean Slate Group Carle Place,534 Broadway,Carle Place,Oyster Bay
"Sunday, 7:00 PM",Courage To Change Group Stamford,245 Selleck Street,Stamford,Oyster Bay
"Sunday, 7:00 PM",Courage To Change Group Stamford,245 Selleck Street,Stamford,Oyster Bay
"Sunday, 7:00 PM",Unity on Union Group,82 06 Bell Boulevard,Queens,Oyster Bay
"Sunday, 7:00 PM",Never Again Group Huntington,240 Main Street,Huntington,Oyster Bay
"Sunday, 7:00 PM",More Recovery in Progress Group,311 Huguenot Street,New Rochelle,Oyster Bay
"Sunday, 7:30 PM",Asbury Addicts Group,Online265 Asbury Avenue,Westbury,Oyster Bay
"Sunday, 8:00 PM",Blue Print to Recovery Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Sunday, 8:00 PM",No Matter What Group Hempstead,436 South Franklin Street,Hempstead,Oyster Bay
"Sunday, 10:00 PM",Late Show Group,16 Main Street,Hempstead,Oyster Bay
"Monday, 12:00 PM",Serenity At Noon Group,141 Franklin Street,Stamford,Oyster Bay
"Monday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Monday, 6:30 PM",Living Clean Group Hicksville,95 Stewart Avenue,Hicksville,Oyster Bay
"Monday, 7:00 PM",Recovery On The Hill Group,41 Stillwater Avenue,Stamford,Oyster Bay
"Monday, 7:00 PM",Day One Group,Online80 Hicksville Road,Seaford,Oyster Bay
"Monday, 7:30 PM",Recovery By The Book Group,196 West Centennial Avenue,Roosevelt,Oyster Bay
"Monday, 7:30 PM",Keep It Green Group Huntington,125 Main Street,Huntington,Oyster Bay
"Monday, 8:00 PM",Monday Topic Group Stewart Manor,116 Elton Road,Stewart Manor,Oyster Bay
"Monday, 8:00 PM",Just Care Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Monday, 8:00 PM",Sick Not Twisted Group,Online39 North Carl Avenue,Babylon,Oyster Bay
"Tuesday, 11:00 AM",Experience Strength and Hope in the Morning Group,155 Indian Head Road,Commack,Oyster Bay
"Tuesday, 1:00 PM",Daysteppers Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Tuesday, 6:30 PM",New Beginnings Group Amityville,2 Monroe Street,Amityville,Oyster Bay
"Tuesday, 7:00 PM",Recovery On Tuesday Group,41 Stillwater Avenue,Stamford,Oyster Bay
"Tuesday, 7:00 PM",Recovery on Main Street Group,16 Main Street,Hempstead,Oyster Bay
"Tuesday, 7:00 PM",Your Basic Step Group,Pulaski Road at New York Avenue,Huntington Station,Oyster Bay
"Tuesday, 7:00 PM",Young and Free Group,311 Huguenot Street,New Rochelle,Oyster Bay
"Tuesday, 7:30 PM",Never Alone Group Northport,130 Main Street,Northport,Oyster Bay
"Tuesday, 7:30 PM",Boys To Men Group Levittown,Online3100 Hempstead Turnpike,Levittown,Oyster Bay
"Tuesday, 7:30 PM",Women With the Women Group Floral Park,57 Spooner Street,Floral Park,Oyster Bay
"Tuesday, 8:00 PM",Tonights The Night Group,485 Conklin Street,Farmingdale,Oyster Bay
"Wednesday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Wednesday, 6:30 PM",Women on Wednesday New Beginnings Group,196 West Centennial Avenue,Roosevelt,Oyster Bay
"Wednesday, 7:00 PM",Guppy Group,423 Park Avenue,Huntington,Oyster Bay
"Wednesday, 7:00 PM",A Simple Solution Group,245 Selleck Street,Stamford,Oyster Bay
"Wednesday, 7:15 PM",It Works How And Why Group Franklin Square,619 Fenworth Boulevard,Franklin Square,Oyster Bay
"Wednesday, 7:30 PM",New Kind of Freedom Group,21 James Street,Babylon,Oyster Bay
"Wednesday, 7:30 PM",Recovery From The Inside Group,81 Maple Avenue,Hempstead,Oyster Bay
"Wednesday, 8:00 PM",Basically Genesis Group,100 Park Boulevard,Massapequa Park,Oyster Bay
"Wednesday, 8:00 PM",Mid Island Connection Group,Online474 Wantagh Avenue,Levittown,Oyster Bay
"Wednesday, 8:00 PM",Living Clean In Babylon Group,39 North Carl Avenue,Babylon,Oyster Bay
"Thursday, 12:00 PM",Serenity At Noon Group,141 Franklin Street,Stamford,Oyster Bay
"Thursday, 1:00 PM",Hope in Hicksville Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Thursday, 7:00 PM",Gates of Delivery Group,423 Park Avenue,Huntington,Oyster Bay
"Thursday, 7:00 PM",Recovery on Main Street Group,16 Main Street,Hempstead,Oyster Bay
"Thursday, 7:00 PM",A Simple Solution Group,245 Selleck Street,Stamford,Oyster Bay
"Thursday, 7:30 PM",Kick It and Stay Clean Group,600 New Hyde Park Road,New Hyde Park,Oyster Bay
"Thursday, 7:30 PM",Women Living the Message Group,486 Town Line Road,Commack,Oyster Bay
"Thursday, 7:30 PM",We Do Recover Group Amityville,3504 Great Neck Road,Amityville,Oyster Bay
"Thursday, 8:00 PM",Merrick Sunrise Group,2101 William Place,Merrick,Oyster Bay
"Thursday, 8:00 PM",Growing Together Group,Online505 Willis Avenue,Williston Park,Oyster Bay
"Thursday, 8:00 PM",Roslyn Mens Group,Online1579 Northern Boulevard,Roslyn,Oyster Bay
"Thursday, 8:00 PM",New Connection Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Thursday, 8:00 PM",Strictly The Steps Group,Online210 South Wellwood Avenue,Lindenhurst,Oyster Bay
"Thursday, 8:00 PM",Recovery Island Group,113 City Island Avenue,Bronx,Oyster Bay
"Saturday, 1:00 PM",Daystar Group,95 Stewart Avenue,Hicksville,Oyster Bay
"Saturday, 6:00 PM",Friday Night Mens Group,497 Pulaski Road,Greenlawn,Oyster Bay
"Saturday, 6:30 PM",Soul Survivors Group,901 Pelhamdale Avenue,Pelham Manor,Oyster Bay
"Saturday, 6:30 PM",Wonder Women Group,497 Pulaski Road,Greenlawn,Oyster Bay
"Saturday, 7:30 PM",Miracles on Main Street Group,60 East Main Street,Oyster Bay,Oyster Bay
"Saturday, 7:30 PM",Coffee Group,196 West Centennial Avenue,Roosevelt,Oyster Bay
"Saturday, 7:30 PM",This Must Be the Place Group,106 Vernon Valley Road,East Northport,Oyster Bay
"Saturday, 7:30 PM",Back To Life Group Bronx,Online595 Minnieford Avenue,Bronx,Oyster Bay
"Saturday, 7:30 PM",Our Primary Purpose Group Amityville,25 Broadway,Amityville,Oyster Bay
"Saturday, 8:00 PM",Free on Friday Group,220 Central Avenue,Bethpage,Oyster Bay
"Saturday, 9:15 PM",Meditation on Main Street Group,60 East Main Street,Oyster Bay,Oyster Bay
"Sunday, 9:00 AM",We Can With A Helping Hand Group,110 54 Farmers Boulevard,Queens,Queens
"Sunday, 9:00 AM",Miracles By The Sea Group,Online75 East Olive Street,Long Beach,Queens
"Sunday, 9:00 AM",Rise and Shine at 9 Group,1926 Prospect Place,Brooklyn,Queens
"Sunday, 9:00 AM",All Men On Saturday Group,1344 Clinton Avenue,Bronx,Queens
"Sunday, 9:00 AM",Saturday Morning Serenity Group,Online7 Saint Mark's Place,Yonkers,Queens
"Sunday, 9:00 AM",Daybreak Express Group,Online25 Oak Street,Jersey City,Queens
"Sunday, 9:30 AM",Early Morning Serenity Group,325 East 101 Street,Manhattan,Queens
"Sunday, 9:30 AM",Surrender on Sundays Group,2750 Gerritsen Avenue,Brooklyn,Queens
"Sunday, 9:30 AM",Serenity on Saturday Group Brooklyn,7010 Fort Hamilton Parkway,Brooklyn,Queens
"Sunday, 9:30 AM",Sanity On Saturday Group,3710 Glenwood Road,Brooklyn,Queens
"Sunday, 10:00 AM",Recovering in Washington Heights Group,729 West 181st Street,New York,Queens
"Sunday, 10:00 AM",Sunday Morning Wake up Group,2205 1st Avenue,Manhattan,Queens
"Sunday, 10:00 AM",Serenity in Harlem Group,2960 Frederick Douglass Boulevard,Manhattan,Queens
"Sunday, 10:00 AM",Mid AM Recovery Group,2960 Frederick Douglass Boulevard,Manhattan,Queens
"Sunday, 10:00 AM",Men and Women Clean and Serene Group,2950 West 25th Street,Brooklyn,Queens
"Sunday, 10:00 AM",Beginning at Brownsville Group,657 East 98th Street,Brooklyn,Queens
"Sunday, 10:00 AM",Ladies Doing It Together Group,Online760 Soundview Avenue,Bronx,Queens
"Sunday, 10:00 AM",Ladies Day Group,Online3424 Kossuth Avenue,Bronx,Queens
"Sunday, 10:00 AM",Saturday Morning Wake Up Group Brooklyn,128 Montrose Avenue,Brooklyn,Queens
"Sunday, 10:00 AM",Recovery Downtown Group Brooklyn,40 Vanderbilt Avenue,Brooklyn,Queens
"Sunday, 10:00 AM",Saturday Morning Meditation Group,760 Soundview Avenue,Bronx,Queens
"Sunday, 10:00 AM",Serenity by the Book Group,103 West 2nd Street,Mount Vernon,Queens
"Sunday, 10:00 AM",Search for Serenity Group,3931 Kings Highway,Brooklyn,Queens
