PROVIDER_NAME,PROVIDER_NUMBER,PROVIDER_STREET,PROVIDER_CITY,PROVIDER_COUNTY,PROVIDER_STATE,PROVIDER_ZIP_CODE,PROVIDER_ZIP_CODE_PLUS_4,PROGRAM_NAME,PROGRAM_NUMBER,PROGRAM_COUNTY,PROGRAM_STREET_ADDRESS,PROGRAM_CITY,PROGRAM_STATE,PROGRAM_ZIP_CODE,PROGRAM_ZIP_CODE_PLUS_4,PROGRAM_DIRECTOR,PROGRAM_DIRECTOR_EMAIL,PROGRAM_DIRECTOR_TELEPHONE,PROGRAM_DIRECTOR_PHONE_EXTENSION,PROGRAM_TYPE,SERVICE_TYPE,ADMISSION_PHONE,ADMISSION_PHONE_EXT,TELEHEALTH_SERVICES,ADOLESCENT_DESIGNATION,PROBLEM_GAMBLING,INTEGRATED_LICENSE_SERVICE,PARENTS_WITH_CHILDREN,LGBTQ_ENDORSEMNT,ADDITIONAL_LOCATION_STREET,ADDITIONAL_LOCATION_CITY,ADDITIONAL_LOCATION_ZIP,ADDITIONAL_LOCATION_COUNTYNAME,Latitude,Longitude
"BestSelf Behavioral Health, Inc.",50250,255 Delaware Ave,Buffalo,Erie,NY,14202,2017.0,Abbott Corners Addiction Services OTP,53276,Erie,3176 Abbott Rd,Orchard Park,NY,14127,1069.0,Marie Bage,mbage@bestselfwny.org,7168222117,1740.0,Opioid Treatment,Opioid Outpatient Treatment,,,,,,,,,,,,,42.891232,-78.876209
"Cazenovia Recovery Systems, Inc.",38170,2495 Main St,Buffalo,Erie,NY,14214,,Casa Di Vita by Caz Recovery RRi,53573,Erie,200 Albany St,Buffalo,NY,14213,1801.0,Ms. Kelsey Lennertz CASAC,klennertz@cazenoviarecovery.org,7168222108,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,42.935208,-78.842166
Community Action Org of Western NY,46,45 Jewett Avenue,Buffalo,Erie,NY,14214,,DART Program OTP,13,Erie,1237 Main St,Buffalo,NY,14209,2111.0,Mrs. Deanne Montomery,kbossert@caoec.org,7168849101,3008.0,Opioid Treatment,Opioid Outpatient Treatment,7168849101.0,3015.0,,,,,,,,,,,42.933751,-78.842216
"EHS, Inc.",38260,206 S Elmwood Ave,Buffalo,Erie,NY,14201,2398.0,"EHS, Inc. OP",52843,Erie,206 S Elmwood Ave,Buffalo,NY,14201,2398.0,Mrs. Tangela Bogan Watson,twatson-bogan@evergreenhs.org,7168472441,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,42.890841,-78.878631
Endeavor Health Services,50230,1526 Walden Ave,Cheektowaga,Erie,NY,14225,4985.0,Endeavor Health Services OCCBHC,53777,Erie,1131 Broadway,Buffalo,NY,14212,1501.0,Mr. Scott Morton,smorton@ehsny.org,7168956700,,Outpatient Services,Crtfd Cmty Behavioral Hlth Clnc,,,Y,,,OMH Hosted,,,,,,,42.90737,-78.781579
Erie County Medical Center Corporation,85150,462 Grider St,Buffalo,Erie,NY,14215,3021.0,Erie County Medical Center Corp MMD,50276,Erie,462 Grider St,Buffalo,NY,14215,3021.0,Mrs. Jennifer L Barry,jbarry@ecmc.edu,7168984576,,Crisis Services,Medical Managed Detoxification,7168984576.0,,,,,,,,,,,,42.925479,-78.831544
"Horizon Health Services, Inc.",11130,55 Dodge Rd,Getzville,Erie,NY,14068,1205.0,Bailey Recovery Center OP,50031,Erie,3020 Bailey Ave,Buffalo,NY,14215,,Christian Bell,cbell@horizon-health.org,7168333622,,Outpatient Services,Outpatient Clinic,7168333622.0,,Y,,,,,Y,,,,,43.025176,-78.796714
Sisters of Charity Hospital of Buffalo,81820,2157 Main St,Buffalo,Erie,NY,14214,,Sisters Health Center Amherst OP,51018,Erie,210 John Glenn Dr,Amherst,NY,14228,2213.0,Ms. Sheryl Katz,sbrown@chsbuffalo.org,7168621330,,Outpatient Services,Outpatient Clinic,7168622063.0,,Y,,,,,,,,,,42.928538,-78.848605
Spectrum Human Services,50240,227 Thorn Ave,Orchard Park,Erie,NY,14127,631.0,New Alternatives OCCBHC,53778,Erie,1280 Main St,Buffalo,NY,14209,1912.0,Lisa Ardovini,ardovinil@shswny.org,7168845797,,Outpatient Services,Crtfd Cmty Behavioral Hlth Clnc,,,Y,,,OMH Hosted,,,,,,,42.760653,-78.753226
Stutzman Addiction Treatment Center,90001,360 Forest Ave,Buffalo,Erie,NY,14213,,Stutzman ATC IP,50719,Erie,360 Forest Ave,Buffalo,NY,14213,1205.0,Mr. Robert Chapman,Robert.Chapman@oasas.ny.gov,7168824900,,Inpatient Treatment Services,Inpatient Rehabilitation,7168824906.0,,Y,,Y,,,,,,,,42.928331,-78.885175
North Star Industries,40410,31 6th Street,Malone,Franklin,NY,12953,,North Star Industries OCCBHC,53770,Franklin,31 6th St,Malone,NY,12953,,Kati Jock,katijock@citizenadvocates.net,5184879830,,Outpatient Services,Crtfd Cmty Behavioral Hlth Clnc,,,Y,,,OMH Hosted,,,70 Edgewood Road,Saranac Lake,12983.0,Franklin,44.861115,-74.290649
Saint Regis Mohawk Tribe/Health Servcs,22290,404 State Route 37,Akwesasne,Franklin,NY,13655,3109.0,Alcohol/Chemical Dependency Program OP,5266,Franklin,404 State Route 37,Akwesasne,NY,13655,3109.0,Mrs. Connie Thompson CASAC,connie.thompson@srmt-nsn.gov,5183583141,160.0,Outpatient Services,Outpatient Clinic,5183583145.0,,Y,,,,,,,,,,44.977804,-74.689598
"Fulton Friendship House, Inc.",12190,18 Cayadutta St,Gloversville,Fulton,NY,12078,,Victorian Manor RRi,53805,Fulton,8-10 First Ave,Gloversville,NY,12078,,Ms. Victoria DeGiulio CASAC,vdegiulio@fultonfh.com,5187255646,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,43.048611,-74.3478632
St. Mary's Healthcare,85350,427 Guy Park Ave,Amsterdam,Montgomery,NY,12010,,St. Mary's Healthcare OP 1,52614,Fulton,73 N Main St,Gloversville,NY,12078,,Ms. Kayla Egan,kayla.egan@nysmha.org,5188417115,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,42.954601,-74.216585
Genesee Council on Alcsm & Subs Abuse,38100,430 E Main St,Batavia,Genesee,NY,14020,2519.0,Genesee Council Clinic OP,50546,Genesee,430 E Main St,Batavia,NY,14020,2519.0,Mrs. Elizabeth Riter,smurphy@gcasa.org,5853431124,,Outpatient Services,Outpatient Clinic,5853431124.0,,Y,,Y,,,,5 Main Street,LeRoy,14482.0,Genesee,42.995674,-78.173056
United Memorial Medical Center,82230,127 North St,Batavia,Genesee,NY,14020,1631.0,Hope Haven IP,50957,Genesee,16 Bank St,Batavia,NY,14020,2250.0,Kate Gregory,katelyn.gregory@rochesterregional.org,5856225953,,Inpatient Treatment Services,Inpatient Rehabilitation,5856225953.0,,Y,,,,,Y,,,,,43.004874,-78.176658
Credo Community Ctr/Trmt of Addictions,41270,595 W Main St,Watertown,Jefferson,NY,13601,,Credo Comm Ctr/Trmt of Addictions RRi,53659,Jefferson,417 Washington St,Watertown,NY,13601,3735.0,Matthew Morin,matthewm@credocc.com,3157883833,4675.0,Residential Services,820 Residential Reintegration,,,Y,,,,,,,,,,43.982824,-75.916438
Samaritan Medical Center,15920,1575 Washington Street,Watertown,Jefferson,NY,13601,4066.0,Samaritan Med Cntr Adctn Srvcs OP,51705,Jefferson,1575 Washington St,Watertown,NY,13601,9371.0,Ms. Mary A Hughes-Hoistion LMSW,mhoistion@shsny.com,3157867332,,Outpatient Services,Outpatient Clinic,3157867332.0,,Y,,,,,,,,,,43.95072,-75.912315
"AAA Health, Inc.",43710,1090 Coney Island Avenue,Brooklyn,Kings,NY,11230,2341.0,"AAA Health, Inc. OP",51953,Kings,1090 Coney Island Ave,Brooklyn,NY,11230,2341.0,Mrs. Olena Shutova CASAC,aaahealth@verizon.net,7184212101,,Outpatient Services,Outpatient Clinic,7184212101.0,,Y,,,,,,,,,,40.630987,-73.966751
Addiction Care Interventions,11490,589 Rockaway Ave,Brooklyn,New York,NY,11212,5624.0,Addiction Care Interventions IP,51389,Kings,589 Rockaway Ave,Brooklyn,NY,11212,5624.0,Mr. Karl E Morris CASAC,Kmorris@areba.onmicrosoft.com,2122933000,5097.0,Inpatient Treatment Services,Inpatient Rehabilitation,2123784545.0,1002.0,Y,,,,,,,,,,40.665456,-73.909168
"Anchor House, Inc.",610,1041 Bergen St,Brooklyn,Kings,NY,11216,3307.0,"Anchor House, Inc. SRR",53207,Kings,976 Park Pl,Brooklyn,NY,11213,1803.0,Mr. Edgar Sanchez,esanchez@anchorhouseinc.com,7187568673,122.0,Residential Services,820 Stabil Rehab Reintegration,7187710760.0,,Y,,,,,,,,,,40.676438,-73.951951
Beth Israel Medical Center,83040,125th Street,New York,New York,NY,10035,1641.0,Vincent P. Dole Clinic OTP,53131,Kings,25 12th St,Brooklyn,NY,11215,8019.0,Mr. Stafford Faulknnor,stafford.faulknor@mountsinai.org,7189657901,,Opioid Treatment,Opioid Outpatient Treatment,,,Y,,,,,,,,,,40.8041827,-73.93694435
"Bridge Back to Life Center, Inc.",2050,4271 Hempstead Tpke,Bethpage,Nassau,NY,11714,,Bridge Back to Life Ctr Inc. OP 3,7180,Kings,175 Remsen St,Brooklyn,NY,11201,4333.0,Ms. Emma Nagle,enagle@bridgebacktolife.com,7188525552,,Outpatient Services,Outpatient Clinic,7188525552.0,,Y,,,,,,,,,,40.726096,-73.480407
"Bridging Access to Care, Inc.",31640,2261 Church Ave,Brooklyn,Kings,NY,11226,3201.0,"Bridging Access to Care, Inc. OP",7275,Kings,2261 Church Ave,Brooklyn,NY,11226,3201.0,Dr. Caren Levensohn PhD,clevensohn@bac-ny.org,3475055182,,Outpatient Services,Outpatient Clinic,3475055182.0,,Y,,,,,,260 Broadway,Brooklyn,11211.0,Kings,40.650738,-73.956772
"Brooklyn Center for Psychotherapy, Inc",32130,300 Flatbush Avenue,Brooklyn,Kings,NY,11217,1813.0,New Directions OP,50337,Kings,300 Flatbush Ave,Brooklyn,NY,11217,,Ms. Carol Morrison LCSW,cmorrison@newdirectionsclinic.com,7183980800,,Outpatient Services,Outpatient Clinic,7183980800.0,,Y,,,Mental Health,,,,,,,40.677993,-73.973414
Brooklyn Hospital Center,27480,121 DeKalb Ave,Brooklyn,Kings,NY,11201,5425.0,Brooklyn Hospital Center MMD,8033,Kings,121 DeKalb Ave,Brooklyn,NY,11201,5425.0,Ms. Catherine Lashley RN,clashley@tbh.org,3475634741,,Crisis Services,Medical Managed Detoxification,7182508900.0,,,,,,,,,,,,40.690633,-73.977945
"Brownsville Comm Develop.Corp., Inc.",45250,592 Rockaway Avenue,Brooklyn,Kings,NY,11212,,Brownsville Community Development CR,51330,Kings,657-663 E 98th St,Brooklyn,NY,11236,1305.0,Mrs. Michele Leeheung MSW,mhueng@bmsfhc.org,7183458605,4413.0,Residential Services,Community Residential,7183458605.0,4412.0,,,,,,,,,,,40.665343,-73.909943
C.C.M.S.,19430,810 Classon Avenue,Brooklyn,Kings,NY,11238,,C.C.M.S. OP,7277,Kings,810 Classon Ave,Brooklyn,NY,11238,,Ms. Cynthia Di Fan,cfan@ccmnyc.org,7182305100,,Outpatient Services,Outpatient Clinic,,,,,,,,,25 Elm Place,Brooklyn,11201.0,Kings,40.672799,-73.961006
Catholic Charities Neighborhood Svcs.,40490,191 Joralemon St,Brooklyn,Kings,NY,11201,4306.0,Catholic Charities Neighborhood Svc OP,51149,Kings,1623 Flatbush Ave,Brooklyn,NY,11210,3262.0,Ms. Rebecca Herman,rebecca.herman@ccbq.org,7189519009,,Outpatient Services,Outpatient Clinic,7189519009.0,,Y,,,,,,18-47 Mott Avenue,Far Rockaway,11691.0,Queens,40.69279,-73.991779
"Center for Community Alternatives, Inc",2136,25 Chapel St,Brooklyn,Kings,NY,11201,1954.0,Crossroads to Recovery OP,6520,Kings,25 Chapel St,Brooklyn,NY,11201,,Ms. Vanessa Piedra,vpiedra@communityalternatives.org,7188589658,410.0,Outpatient Services,Outpatient Clinic,7188589658.0,418.0,Y,,,,,,,,,,40.697424,-73.985924
Coney Island Hospital (HHC),87050,2925 West 19 Street,Brooklyn,Kings,NY,11224,,Coney Island Hospital (HHC) OP,50320,Kings,2925 W 19th St,Brooklyn,NY,11224,2501.0,Mr. Sal Florio LCSW,Sal.Florio@nychhc.org,7186166031,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.575986,-73.985364
"Counseling Service of E.D.N.Y., Inc.",80,175 Remsen St,Brooklyn,Kings,NY,11201,4333.0,Counseling Service of E.D.N.Y. OP 2,6285,Kings,175 Remsen St,Brooklyn,NY,11201,4333.0,Ms. Mo'Nique Murray MA,monique.murray@csedny.org,7188586631,36.0,Outpatient Services,Outpatient Clinic,7188586631.0,,Y,,,,,,,,,,40.693479,-73.991409
Cumberland D/TC (HHC),85450,100 North Portland Ave,Brooklyn,Kings,NY,11205,2005.0,Alcoholism Treatment Program OP,51910,Kings,100 N Portland Ave,Brooklyn,NY,11205,2005.0,Ms. Carrie Watters,Carrie.Watters@nychhc.org,7182604810,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,185 Marcy Avenue,Brooklyn,11211.0,Kings,40.695094,-73.976552
Dynamic Youth Community Inc,105,1830 Coney Island Ave,Brooklyn,Kings,NY,11230,6502.0,Dynamic Youth Community Inc CR,52160,Kings,1830 Coney Island Ave,Brooklyn,NY,11230,6502.0,Mr. Scott Lynch CASAC,wfusco@dycinc.org,7183767923,,Residential Services,Community Residential,7183767923.0,,Y,,,,,,,,,,40.612798,-73.963256
"El Regreso, Inc.",1522,141 South 3rd Street,Brooklyn,Kings,NY,11211,5509.0,"El Regreso Inc., SRR",53566,Kings,141-143 S 3rd St,Brooklyn,NY,11211,5509.0,Mr. Jonathan Sesman LMSW,jsesman@elregreso.org,7183846400,,Residential Services,820 Stabil Rehab Reintegration,,,,,,,,,,,,,40.712522,-73.961911
"First Steps to Recovery, Inc.",2090,312 West 47th Street,New York,New York,NY,10036,3101.0,First Steps to Recovery OP 1,7334,Kings,2990 Brighton 12th St,Brooklyn,NY,11235,4755.0,Mr. John Crepsac LCSW,john@firststepstorecoveryny.com,8009297972,800.0,Outpatient Services,Outpatient Clinic,8009297942.0,798.0,Y,,,,,,,,,,40.760565,-73.988376
"Genesis Detox of Brooklyn, LLC",49600,449 39th Street,Brooklyn,Kings,NY,11232,2909.0,"Genesis Detox of Brooklyn, LLC MSW IP",53059,Kings,449 39th St,Brooklyn,NY,11232,2909.0,Ms. Connie Pentony-Brown,cpb@genesisdob.com,7186334673,104.0,Crisis Services,Med Sup Withdrawal - Inpatient,7186334673.0,116.0,,,,,,,,,,,40.652017,-74.004663
"Hands On Health Associates, LLC",48040,249 Pennsylvania Ave,Brooklyn,Kings,NY,11207,3436.0,"Hands On Health Associates, LLC OP",52619,Kings,249 Pennsylvania Ave,Brooklyn,NY,11207,3436.0,Barukho Babayeva CASAC,bbabayeva@handsonny.com,3475473626,1007.0,Outpatient Services,Outpatient Clinic,3475473626.0,1001.0,Y,,,,,,,,,,40.671522,-73.895414
"HealthCare Choices NY, Inc.",49950,6209 16th Ave,Brooklyn,Kings,NY,11204,2702.0,"HealthCare Choices NY, Inc. OP",53210,Kings,6209 16th Ave,Brooklyn,NY,11204,2702.0,Gilbert M Bell,gmbell@healthcarechoicesny.org,7182340073,,Outpatient Services,Outpatient Clinic,7182340073.0,,Y,,,,,,,,,,40.623351,-73.993063
Housing Works Community Healthcare,48960,57 Willoughby St,Brooklyn,Kings,NY,11201,,Housing Works Community Healthcare OP,52958,Kings,2640 Pitkin Ave,Brooklyn,NY,11208,2763.0,Dara Walker,dwalker@housingworks.org,2122896008,365.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.692527,-73.986509
"Institute for Community Living, Inc.",19340,125 Broad St,New York,Kings,NY,10004,,"Institute for Community Living, Inc OP",53544,Kings,2581 Atlantic Ave,Brooklyn,NY,11207,2412.0,Drucilla Williams LCSW,Drucilla.williams@iclinc.net,9296261070,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.702347,-74.010511
Jewish Board - Family & Children's Ser,21290,463 7th Ave,New York,New York,NY,10018,7604.0,Jewish Board - Family/Child Srvcs OP,53786,Kings,1007 Quentin Rd,Brooklyn,NY,11223,2341.0,Deborah Zicht,dzicht@jbfcs.org,7189983235,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.751658,-73.989518
Journeys,49320,1049 38th St,Brooklyn,Kings,NY,11219,1012.0,Journeys OP,52957,Kings,1049 38th St,Brooklyn,NY,11219,1012.0,Dr. Irwin Lenefsky,ilenefsky@yahoo.com,7187040200,103.0,Outpatient Services,Outpatient Clinic,7187040200.0,103.0,Y,,,,,,,,,,40.64455,-73.99083
Kings County Hospital Center (HHC),87030,451 Clarkson Ave,Brooklyn,Kings,NY,11203,,Cultivating Dreams Together OP Ther OP,51909,Kings,410 Winthrop St,Brooklyn,NY,11203,,Ms. Sasha Ashton CASAC,Sasha.Ashton@nychhc.org,7182454878,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.656785,-73.944598
Kingsboro Addiction Treatment Center,90014,754 Lexington Avenue,Brooklyn,Kings,NY,11221,2944.0,Kingsboro ATC IP,53442,Kings,754 Lexington Ave,Brooklyn,NY,11221,2944.0,Ms. Vibeke Velez,Vibeke.Velez@oasas.ny.gov,7184533200,3474.0,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,Y,,,,,,,,40.690002,-73.928685
LSA Recovery (IDCC),15410,1623 Kings Hwy,Brooklyn,Kings,NY,11229,1209.0,LSA Recovery (IDCC) OP,53511,Kings,1664 E 14th St,Brooklyn,NY,11229,1209.0,Ms. Ertuania Jorge CASAC,ejorge@lsarecovery.org,9733429106,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,1117 Eastern Parkway,Brooklyn,11213.0,Kings,40.609738,-73.956766
N. Crown Heights Family Outreach Ctr,42930,763-765 Nostrand Ave,Brooklyn,Kings,NY,11216,4203.0,N. Crown Heights Family Outreach OP,51973,Kings,763-765 Nostrand Ave,Brooklyn,NY,11216,4203.0,Ms. Susana Dobrer,nchfoc@aol.com,7182308600,,Outpatient Services,Outpatient Clinic,7182308600.0,,Y,,,,,,,,,,40.6711577,-73.9502324
"New York Therapeutic Communities, Inc.",587,266 W 37th St,New York,New York,NY,10018,,"NY Therapeutic Communities, Inc. OP",51994,Kings,2071 Fulton St,Brooklyn,NY,11233,3331.0,Ms. Susan James CASAC,sjames@staynout.org,3477708650,,Outpatient Services,Outpatient Clinic,3477708650.0,,Y,,,,,,,,,,40.753758,-73.991813
"Ohel Children's and Family Services, I",19210,1268 E 14th St,Brooklyn,Kings,NY,11230,5241.0,Ohel Children's and Family Services OP,53710,Kings,1268 E. 14th St,Brooklyn,NY,11230,5241.0,Dr. Sofia Georgoulias,sofia_georgoulias@ohelfamily.org,7186863460,,Outpatient Services,Outpatient Clinic,,,,,,,,,,,,,40.618518,-73.961629
Outreach Development Corporation,31360,117-11 Myrtle Ave,Richmond Hill,Queens,NY,11418,1751.0,Outreach Development Corporation OP,51847,Kings,960 Manhattan Ave,Brooklyn,NY,11222,1625.0,Ms. Krista Whitman LCSW,kristawhitman@opiny.org,7183837200,,Outpatient Services,Outpatient Clinic,7183837200.0,,Y,,,,,,,,,,40.700259,-73.831995
"Pesach Tikvah-Hope Development, Inc.",21890,926 Bedford Ave,Brooklyn,Kings,NY,11205,5191.0,Pesach Tikvah-Hope Dvlpmnt Inc. OP,53708,Kings,926 Bedford Ave,Brooklyn,NY,11205,,Yechiel Benedikt,ybenedikt@verizon.net,8482233804,,Outpatient Services,Outpatient Clinic,,,,,,,,,,,,,40.693163,-73.956141
"Realization Center, Inc.",27270,19 Union Square W,New York,New York,NY,10003,3304.0,"Realization Center, Inc. OP 1",7393,Kings,175 Remsen St,Brooklyn,NY,11201,4300.0,Kristi Makris,km@realizationcenternyc.com,2126279660,,Outpatient Services,Outpatient Clinic,7183426700.0,,Y,,,,,,,,,,40.736163,-73.991455
"Seek Counseling, LLC.",52820,44 77th St,Brooklyn,Kings,NY,11209,,"Seek Counseling, LLC. OP",53753,Kings,408 77th St,Brooklyn,NY,11209,3243.0,Yehoshua Greenfeld,jgreenfeld@success-counseling.com,7188333320,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.631592,-74.035973
South Brooklyn Medical Admin Srvs Inc.,553,685 Third Avenue,Brooklyn,Kings,NY,11232,1108.0,S Brooklyn Medical Admin Srvs Inc. OTP,1479,Kings,685 3rd Avenue,Brooklyn,NY,11232,1108.0,Ms. Alexis Bosco,sobro685@aol.com,7187882594,117.0,Opioid Treatment,Opioid Outpatient Treatment,7187882594.0,106.0,,,,,,,,,,,40.663887,-73.997194
"South Richmond Hill Recovery, LLC",49820,88-08 Liberty Avenue,Ozone Park,Queens,NY,11417,,"South Richmond Hill Recovery, LLC OP 2",53709,Kings,630 Flushing Ave,Brooklyn,NY,11206,5768.0,Mr. John J Saith,jsaith@srhrny.com,9294993420,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.679688,-73.850194
"Spring Hill Wellness New York, LLC",51760,41-05 Avenue V,Brooklyn,Kings,NY,11234,5157.0,Spring Hill Wellness New York LLC OP-R,53584,Kings,41-05 Avenue V,Brooklyn,NY,11234,5157.0,Samantha J Nettleson,samantha@springgardensrecovery.com,8137674136,,Outpatient Services,Outpatient Rehabilitation,,,Y,,,,,,,,,,40.65014,-74.005185
"St. Joseph's Hospital, Yonkers",81050,127 S Broadway,Yonkers,Westchester,NY,10701,4006.0,Alabama Clinic OTP,52570,Kings,480 Alabama Ave,Brooklyn,NY,11207,5706.0,Ms. Andrea Fullerton CASAC,afullerton@svwsjmc.org,7185587240,,Opioid Treatment,Opioid Outpatient Treatment,7184853400.0,,,,,,,,,,,,40.929394,-73.897729
START Treatment & Recovery Centers,47570,22 Chapel St,Brooklyn,Kings,NY,11201,1903.0,ARTC Bushwick MMTP OTP,80,Kings,1149-55 Myrtle Ave,Brooklyn,NY,11206,6007.0,Ms. Leigh Wolfsthal LCSW,lwolfsthal@startny.org,9297224112,,Opioid Treatment,Opioid Outpatient Treatment,,,Y,,,,,,,,,,40.696879,-73.985704
Staten Island University Hospital,85200,475 Seaview Ave,Staten Island,Richmond,NY,10305,3436.0,Staten Island University Hosp. OTP 3,7150,Kings,567 E 105th St,Brooklyn,NY,11236,2213.0,Ms. Cyleen Peters,cpeters3@northwell.edu,7182264930,4994.0,Opioid Treatment,Opioid Outpatient Treatment,7182264905.0,,Y,,,,,,,,,,40.584789,-74.086053
Sun River Health,34370,1037 Main Street,Peekskill,Westchester,NY,10566,2913.0,Alpha School 822 Program OP,53298,Kings,2400 Linden Blvd,Brooklyn,NY,11208,4830.0,Ms. Lorna R Johnson CSW-R,ljohnson@sunriver.org,7182575800,,Outpatient Services,Outpatient Clinic,7182575800.0,,Y,,,,,,,,,,41.291565,-73.918445
"Surfpoint Recovery, LLC",51930,2316 Surf Ave,Brooklyn,Kings,NY,11224,2113.0,"Surfpoint Recovery, LLC IP",53675,Kings,2316 Surf Ave,Brooklyn,NY,11224,,Vincent Marchese,vmarchese@surfpointrecovery.com,3477274800,,Inpatient Treatment Services,Inpatient Rehabilitation,9177749899.0,,Y,,,,,,,,,,40.573543,-73.990092
The Brookdale Hospital Medical Center,86040,1545 Atlantic Ave,Brooklyn,Kings,NY,11213,,Brookdale Hospital Medical Center IP,53746,Kings,1545 Atlantic Ave,Brooklyn,NY,11213,,Ms. Suzette Collier MSW,scollier@interfaithmedical.org,7186137511,,Inpatient Treatment Services,Inpatient Rehabilitation,7186134194.0,,Y,,,,,,,,,,40.678397,-73.937388
"The Family Center, Inc.",48310,493 Nostrand Ave,Brooklyn,Kings,NY,11216,,"The Family Center, Inc. OP",53608,Kings,493 Nostrand Ave,Brooklyn,NY,11216,,Joan Salmon,Jsalmon@thefamilycenter.org,7182301379,110.0,Outpatient Services,Outpatient Clinic,7182301379.0,171.0,,,,,,,,,,,40.680625,-73.949427
The PAC Program of Brooklyn,44840,7 Debevoise St,Brooklyn,Kings,NY,11206,,The PAC Program of Brooklyn OP,52021,Kings,7 Debevoise St,Brooklyn,NY,11206,4101.0,Mr. Daniel Cruz CASAC,dcruz@thepacprogram.com,7183885950,,Outpatient Services,Outpatient Clinic,6466628431.0,,Y,,,,,,,,,,40.701804,-73.942896
"The SAFE Foundation, Inc.",45700,255 Avenue W,Brooklyn,Kings,NY,11223,5109.0,SAFE Foundation OP,52129,Kings,255 Avenue W,Brooklyn,NY,11223,5202.0,Ms. Jessica Steinmetz,jessica@thesafefoundation.org,8665697233,341.0,Outpatient Services,Outpatient Clinic,8665697233.0,315.0,Y,,Y,,,,,,,,40.6821998,-73.9763922
"Under Angel's Wings Recovery Center, L",52500,54th street,Brooklyn,Kings,NY,11220,2664.0,Under Angel's Wings Recovery Cntr OP,53732,Kings,5411 2nd Ave,Brooklyn,NY,11220,2664.0,Monika Siergiej,1underangelswings@gmail.com,7183745484,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.644231,-74.0148985
Urban Recovery House LLC,50560,411 Van Brunt St,Brooklyn,Kings,NY,11231,,Urban Recovery House LLC IP,53294,Kings,411 Van Brunt St,Brooklyn,NY,11231,1008.0,Kai Funderberg,k.funderburg@urbanrecovery.com,6469606659,,Inpatient Treatment Services,Inpatient Rehabilitation,6469606656.0,,Y,,,,,,,,,,40.675439,-74.014863
Woodhull Medical/Mental Health Ctr-HHC,85180,760 Broadway,Brooklyn,Kings,NY,11206,5317.0,Woodhull Medical & MH Ctr-HHC OP,50911,Kings,760 Broadway,Brooklyn,NY,11206,5317.0,Mr. Ludwig Hauser,ludwig.hauser@woodhullhc.nychhc.org,7189638829,,Outpatient Services,Outpatient Clinic,7189638952.0,,Y,,,,,,,,,,40.699515,-73.942431
"Liberty Resources, Inc.",50660,1045 James St,Syracuse,Onondaga,NY,13203,2758.0,"Liberty Resources, Inc. CR",51121,Madison,239 Broad St,Oneida,NY,13421,2147.0,Ms. Marta Durkin,mdurkin@liberty-resources.org,3152800551,,Residential Services,Community Residential,3152800551.0,,,,,,,,,,,,43.060669,-76.133028
"Action for A Better Community,Inc.",37090,400 West Avenue,Rochester,Monroe,NY,14611,,New Directions OP,50519,Monroe,33 Chestnut St,Rochester,NY,14604,2303.0,Ms. Linda King-Bronner LCSW,lking-bronner@abcinfo.org,5852624330,3203.0,Outpatient Services,Outpatient Clinic,5852624330.0,3203.0,Y,,,,,,,,,,43.151049,-77.648694
Baden Street Settlement of Rochester,16220,152 Baden Street,Rochester,Monroe,NY,14605,2054.0,Baden St. Settlement of Rochester OP,130,Monroe,585 Joseph Ave,Rochester,NY,14605,1215.0,Mr. Hector Diaz,hdiaz@badenstreet.org,5853254910,1203.0,Outpatient Services,Outpatient Clinic,5853254910.0,1141.0,Y,,,,,,,,,,43.1685513,-77.6063202
Catholic Charities Family & Community,20250,79 N Clinton Ave,Rochester,Monroe,NY,14604,1407.0,Alexander Street CR,52208,Monroe,184 Alexander St,Rochester,NY,14607,3606.0,Leslie Kozlowski,Leslie.Kozlowski@fcscharities.org,5855467220,5057.0,Residential Services,Community Residential,5855467220.0,5057.0,,,,,,,,,,,43.158811,-77.607612
Delphi Rise,37290,72 Hinchey Road,Rochester,Monroe,NY,14624,2930.0,Delphi Rise OP,6797,Monroe,72 Hinchey Rd,Rochester,NY,14624,2930.0,Ms. Carla Leaks CASAC,cleaks@delphirise.org,5854672230,134.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,43.139346,-77.672513
